code,name,account_type,currency,opening_balance
2438,"Pågående arbeten, nedlagda kostnader",liability,SEK,0
2439,Beräknad förändring av pågående arbeten,liability,SEK,0
2440,Leverantörsskulder,liability,SEK,0
2441,Leverantörsskulder,liability,SEK,0
2443,Konsignationsskulder,liability,SEK,0
2445,Tvistiga leverantörsskulder,liability,SEK,0
2448,Ej reskontraförda leverantörsskulder,liability,SEK,0
2450,Fakturerad men ej upparbetad intäkt,liability,SEK,0
2460,Leverantörsskulder till koncernföretag,liability,SEK,0
2461,Leverantörsskulder till moderföretag,liability,SEK,0
2462,Leverantörsskulder till dotterföretag,liability,SEK,0
2463,Leverantörsskulder till andra koncernföretag,liability,SEK,0
2470,"Leverantörsskulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",liability,SEK,0
2471,Leverantörsskulder till intresseföretag,liability,SEK,0
2472,Leverantörsskulder till gemensamt styrda företag,liability,SEK,0
2473,Leverantörsskulder till övriga företag som det finns ett ägarintresse i,liability,SEK,0
2480,"Kontokredit, kortfristig",liability,SEK,0
2490,"Övriga kortfristiga skulder till kreditinstitut, kunder och leverantörer",liability,SEK,0
2491,Avräkning spelarrangörer,liability,SEK,0
2492,Växelskulder,liability,SEK,0
2499,Andra övriga kortfristiga skulder,liability,SEK,0
2510,Skatteskulder,liability,SEK,0
2512,Beräknad inkomstskatt,liability,SEK,0
2513,Beräknad fastighetsskatt/fastighetsavgift,liability,SEK,0
2514,Beräknad särskild löneskatt på pensionskostnader,liability,SEK,0
2515,Beräknad avkastningsskatt,liability,SEK,0
2517,Beräknad utländsk skatt,liability,SEK,0
2518,Betald F-skatt,liability,SEK,0
2610,"Utgående moms, 25 %",liability,SEK,0
2611,"Utgående moms på försäljning inom Sverige, 25 %",liability,SEK,0
2612,"Utgående moms på egna uttag, 25 %",liability,SEK,0
2613,"Utgående moms för uthyrning, 25 %",liability,SEK,0
2614,"Utgående moms, omvänd betalningsskyldighet, 25 %",liability,SEK,0
2615,"Utgående moms import av varor, 25 %",liability,SEK,0
2616,Utgående moms VMB 25 %,liability,SEK,0
2618,"Vilande utgående moms, 25 %",liability,SEK,0
2620,"Utgående moms, 12 %",liability,SEK,0
2621,"Utgående moms på försäljning inom Sverige, 12 %",liability,SEK,0
2622,"Utgående moms på egna uttag, 12 %",liability,SEK,0
2623,"Utgående moms för uthyrning, 12 %",liability,SEK,0
2624,"Utgående moms, omvänd betalningsskyldighet, 12 %",liability,SEK,0
2625,"Utgående moms import av varor, 12 %",liability,SEK,0
2626,Utgående moms VMB 12 %,liability,SEK,0
2628,"Vilande utgående moms, 12 %",liability,SEK,0
2630,"Utgående moms, 6 %",liability,SEK,0
2631,"Utgående moms på försäljning inom Sverige, 6 %",liability,SEK,0
2632,"Utgående moms på egna uttag, 6 %",liability,SEK,0
2633,"Utgående moms för uthyrning, 6 %",liability,SEK,0
2634,"Utgående moms, omvänd betalningsskyldighet, 6 %",liability,SEK,0
